 【ERROR】2025-08-16 23:54:14,212 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:14,564 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:14,917 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:15,270 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:15,617 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:16,084 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:16,435 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:16,788 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:17,138 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:17,489 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:42,623 【TCP】推送车辆模拟数据异常:list index out of range
 【ERROR】2025-08-16 23:54:42,628 【Unity】发送数据失败: data must be str, bytes, iterable, or async iterable
 【ERROR】2025-08-17 00:15:40,775 【Unity】客户端断开连接
 【ERROR】2025-08-17 00:17:16,330 【Unity】客户端断开连接
 【ERROR】2025-08-17 00:17:25,902 【Unity】客户端断开连接
 【ERROR】2025-08-17 00:17:53,667 【Unity】客户端断开连接
 【ERROR】2025-08-17 00:57:25,422 【WEB】状态码[11]处理异常：'NoneType' object has no attribute 'get'
 【ERROR】2025-08-17 00:57:39,943 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:42,121 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:44,358 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:46,632 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:48,789 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:50,970 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:53,150 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:55,331 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:57,512 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:57:59,687 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:58:01,914 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:58:04,087 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:58:06,253 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:58:08,418 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:25,302 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:27,454 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:29,640 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:31,825 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:34,008 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:36,287 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:38,578 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:40,743 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:42,926 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:45,107 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 00:59:47,286 【WEB】状态码[5]处理异常：Object of type ndarray is not JSON serializable
 【ERROR】2025-08-17 01:07:17,968 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:20,147 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:22,334 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:24,495 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:26,678 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:28,855 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:31,011 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:07:33,169 【WEB】状态码[5]处理异常：Object of type float32 is not JSON serializable
 【ERROR】2025-08-17 01:14:48,716 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:14:50,894 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:14:53,073 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:14:55,256 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:14:57,435 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:14:59,618 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:15:01,793 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:15:03,948 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:15:06,130 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 01:15:08,300 【WEB】状态码[5]处理异常：节点 小凤路 到 月栖滩 之间没有路段
 【ERROR】2025-08-17 02:12:25,078 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 02:12:28,431 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 02:12:28,652 【Unity】客户端断开连接
 【ERROR】2025-08-17 02:12:33,066 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 02:12:36,534 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 02:15:59,843 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 02:16:03,382 【WEB】状态码[7]处理异常：too many values to unpack (expected 4)
 【ERROR】2025-08-17 11:24:56,766 【Unity】客户端断开连接
 【ERROR】2025-08-17 11:35:16,603 【WEB】状态码[10]处理异常：'我的位置'
 【ERROR】2025-08-17 11:35:44,029 【WEB】状态码[10]处理异常：'我的位置'
 【ERROR】2025-08-17 11:36:40,797 【WEB】状态码[10]处理异常：'我的位置'
 【ERROR】2025-08-17 11:54:07,318 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:10,335 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:13,243 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:16,078 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:18,785 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:21,491 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:24,215 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:26,925 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:29,621 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:32,401 人口密度数据推送错误: Object of type bytes is not JSON serializable
 【ERROR】2025-08-17 11:54:35,206 人口密度数据推送错误: Object of type bytes is not JSON serializable
